Date,Subscription status,Views
2023-11-28,Subscribed,27985
2023-11-29,Subscribed,25806
2023-11-30,Subscribed,32343
2023-12-01,Subscribed,28179
2023-12-02,Subscribed,22517
2023-12-03,Subscribed,25444
2023-12-04,Subscribed,27657
2023-12-05,Subscribed,27791
2023-12-06,Subscribed,26870
2023-12-07,Subscribed,32902
2023-12-08,Subscribed,24117
2023-12-09,Subscribed,24934
2023-12-10,Subscribed,23983
2023-12-11,Subscribed,18474
2023-12-12,Subscribed,19769
2023-12-13,Subscribed,22024
2023-12-14,Subscribed,28017
2023-12-15,Subscribed,24403
2023-12-16,Subscribed,23345
2023-12-17,Subscribed,22898
2023-12-18,Subscribed,21451
2023-12-19,Subscribed,23642
2023-12-20,Subscribed,29106
2023-12-21,Subscribed,39367
2023-12-22,Subscribed,35095
2023-12-23,Subscribed,35852
2023-12-24,Subscribed,33268
2023-12-25,Subscribed,24112
2023-12-26,Subscribed,24293
2023-12-27,Subscribed,28116
2023-12-28,Subscribed,39908
2023-12-29,Subscribed,34720
2023-12-30,Subscribed,47030
2023-12-31,Subscribed,34841
2024-01-01,Subscribed,39400
2024-01-02,Subscribed,38926
2024-01-03,Subscribed,37872
2024-01-04,Subscribed,46078
2024-01-05,Subscribed,38726
2024-01-06,Subscribed,50054
2024-01-07,Subscribed,39880
2024-01-08,Subscribed,33240
2024-01-09,Subscribed,29126
2024-01-10,Subscribed,26903
2024-01-11,Subscribed,35434
2024-01-12,Subscribed,25440
2024-01-13,Subscribed,35045
2024-01-14,Subscribed,25512
2024-01-15,Subscribed,27839
2024-01-16,Subscribed,24678
2024-01-17,Subscribed,26018
2024-01-18,Subscribed,40313
2024-01-19,Subscribed,30683
2024-01-20,Subscribed,40885
2024-01-21,Subscribed,30068
2024-01-22,Subscribed,27301
2024-01-23,Subscribed,26149
2024-01-24,Subscribed,28492
2024-01-25,Subscribed,42154
2024-01-26,Subscribed,34182
2024-01-27,Subscribed,46922
2024-01-28,Subscribed,42874
2024-01-29,Subscribed,39689
2024-01-30,Subscribed,42896
2024-01-31,Subscribed,46370
2024-02-01,Subscribed,55683
2024-02-02,Subscribed,44953
2024-02-03,Subscribed,58736
2024-02-04,Subscribed,48292
2024-02-05,Subscribed,41541
2024-02-06,Subscribed,38048
2024-02-07,Subscribed,36382
2024-02-08,Subscribed,49740
2024-02-09,Subscribed,39514
