Cities,City name,Views,Watch time (hours),Average view duration
0x89c24fa5d33f083b:0xc80b8f06e177fe62,"New York, NY, USA",2015694,387296.1399,0:11:31
0x80c2c75ddc27da13:0xe22fdf6f254608f4,"Los Angeles, CA, USA",1465810,234084.944,0:09:34
0x47d8a00baf21de75:0x52963a5addd52a99,"London, UK",1185761,178376.3705,0:09:01
0x880e2c3cd0f4cbed:0xafe0a6ad09c0c000,"Chicago, IL, USA",818563,111275.5695,0:08:09
0x5490102c93e83355:0x102565466944d59a,"Seattle, WA, USA",680244,95010.654,0:08:22
0x8640b8b4488d8501:0xca0d02def365053b,"Houston, TX, USA",637156,93166.5194,0:08:46
0x864c19f77b45974b:0xb9ec9ba4f647678f,"Dallas, TX, USA",573189,66391.6286,0:06:56
0x80c8c45e5468d0ed:0xf98463eab8414b62,"Las Vegas, NV, USA",555535,97664.5231,0:10:32
0x6b129838f39a743f:0x3017d681632a850,"Sydney NSW, Australia",515262,64706.422,0:07:32
0x872b12ed50a179cb:0x8c69c7f8354a1bac,"Phoenix, AZ, USA",468822,57451.4424,0:07:21
0x6ad646b5d2ba4df7:0x4045675218ccd90,"Melbourne VIC, Australia",408279,52168.8185,0:07:39
0x80d9530fad921e4b:0xd3a21fdfd15df79,"San Diego, CA, USA",385184,52223.5728,0:08:08
0x89c6b7d8d4b54beb:0x89f514d88c3e58c1,"Philadelphia, PA, USA",372409,65432.3001,0:10:32
0x89d4cb90d7c63ba5:0x323555502ab4c477,"Toronto, ON, Canada",368167,50357.2773,0:08:12
0x80859a6d00690021:0x4a501367f076adff,"San Francisco, CA, USA",358452,47030.7597,0:07:52
0x88f5045d6993098d:0x66fede2f990b630b,"Atlanta, GA, USA",357967,41328.3324,0:06:55
0x876b80aa231f17cf:0x118ef4f8278a36d6,"Denver, CO, USA",347701,36468.9404,0:06:17
0x6b91579aac93d233:0x402a35af3deaf40,"Brisbane QLD, Australia",305747,35071.1979,0:06:52
0x8644b599a0cc032f:0x5d9b464bd469d57a,"Austin, TX, USA",303947,28611.5388,0:05:38
0x1dcc500f8826eed7:0x687fe1fc2828aa87,"Cape Town, South Africa",299635,62862.278,0:12:35
0x808fcae48af93ff5:0xb99d8c0aca9f717b,"San Jose, CA, USA",295725,42251.1959,0:08:34
0x3bae1670c9b44e6d:0xf8dfc3e8517e4fe0,"Bengaluru, Karnataka, India",258381,6801.9612,0:01:34
0x809ac672b28397f9:0x921f6aaa74197fdb,"Sacramento, CA, USA",255639,25601.0571,0:06:00
0x48670e80ea27ac2f:0xa00c7a9973171a0,"Dublin, Ireland",238782,36338.1243,0:09:07
0x865c58af04d00eaf:0x856e13b10a016bc,"San Antonio, TX, USA",236193,31068.8274,0:07:53
0x88541fc4fc381a81:0x884650e6bf43d164,"Charlotte, NC, USA",234028,33206.4676,0:08:30
0x89e3652d0d3d311b:0x787cbf240162e8a0,"Boston, MA, USA",225942,24804.6674,0:06:35
0x54950b0b7da97427:0x1c36b9e6f6d18591,"Portland, OR, USA",218295,26485.4981,0:07:16
0x88e773d8fecdbc77:0xac3b2063ca5bf9e,"Orlando, FL, USA",200832,20270.1101,0:06:03
0x1e95619cbec65033:0xf66262b07a847b4c,"Pretoria, South Africa",197575,45213.3123,0:13:43
0x52b333909377bbbd:0x939fc9842f7aee07,"Minneapolis, MN, USA",197522,21007.2294,0:06:22
0x4870942d1b417173:0xca81fef0aeee7998,"Birmingham, UK",194549,30905.1298,0:09:31
0x8824ca0110cb1d75:0x5776864e35b9c4d2,"Detroit, MI, USA",186896,25465.4349,0:08:10
0x31da1767b42b8ec9:0x400f7acaedaa420,Singapore,181675,21679.8207,0:07:09
0x88d9b0a20ec8c111:0xff96f271ddad4f65,"Miami, FL, USA",180932,20522.8953,0:06:48
0x2a32966cdb47733d:0x304f0b535df55d0,"Perth WA, Australia",177221,22940.3669,0:07:46
0x8864ec3213eb903d:0x7d3fb9d0a1e9daa0,"Nashville, TN, USA",173520,15517.1882,0:05:21
0x89c803aed6f483b7:0x44896a84223e758,"Baltimore, MD, USA",166195,26881.8927,0:09:42
0x886b50ffa7796a03:0xd68e9df640b9ea7c,"Indianapolis, IN, USA",166003,20241.4153,0:07:18
0x883889c1b990de71:0xe43266f8cfb1b533,"Columbus, OH, USA",159897,21660.3168,0:08:07
0x88e5b716f1ceafeb:0xc4cd7d3896fcc7e2,"Jacksonville, FL, USA",150159,26074.5831,0:10:25
0x88c2b782b3b9d1e1:0xa75f1389af96b463,"Tampa, FL, USA",149432,14621.3712,0:05:52
0x3be7c6306644edc1:0x5da4ed8f8d648c69,"Mumbai, Maharashtra, India",138761,4249.6374,0:01:50
0x87c0f75eafe99997:0x558525e66aaa51a2,"Kansas City, MO, USA",134442,15129.6686,0:06:45
0x89ac5a2f9f51e0f7:0x6790b6528a11f0ad,"Raleigh, NC, USA",131393,10144.0389,0:04:37
0x87523d9488d131ed:0x5b53b7a0484d31ca,"Salt Lake City, UT, USA",130439,9179.0848,0:04:13
0x7c00183b8cc3464d:0x4b28f55ff3a7976c,"Honolulu, HI, USA",128027,16908.4799,0:07:55
0x537170039f843fd5:0x266d3bb1b652b63a,"Calgary, AB, Canada",127805,13975.807,0:06:33
0x87ad8a547ef8d281:0x33a21274d14f3a9d,"Oklahoma City, OK, USA",126119,14219.3493,0:06:45
