Date,Views,Watch time (hours),Average view duration,Estimated revenue (USD),Video title,Video publish time,Duration,Video views,Watch time (hours),Subscribers,Video estimated revenue (USD)
11/26/24,171037,51015.5181,0:17:53,1769.498,Man Crushed by Motorcycle Rescue! | Coast Guard Alaska | Full Episode,27-Jul-20,2553,19529,7916.2413,6,256.222
11/25/24,176898,53665.4238,0:18:12,1702.493,Big Bird Nest Business,12-Dec-23,49,8676388,105342.6384,5186,1055.826
11/24/24,179004,55042.6822,0:18:26,1696.241,Border Security breaks open phones looking for narcotics #borderforce,27-Apr-24,51,5906691,75336.5392,5612,1275.448
11/23/24,162381,49839.838,0:18:24,1580.749,Border Force cuts open childhood Teddy Bear #airportsecurity #bordersecurity #teddybear,10-Jan-24,46,3849925,47380.6033,3889,597.478
11/22/24,161343,49889.6758,0:18:33,1765.839,What's in the Pot?,17-Jul-23,44,2949855,30311.6721,2833,435.578
11/21/24,145179,45654.7311,0:18:52,1627.958,"Unfiltered: Mike Tyson's Life, Mistakes, Redemption: See it before Mike Tyson vs Jake Paul",12-Nov-23,5175,1850564,1054520.397,4719,35664.652
11/20/24,135599,40106.2832,0:17:44,1423.622,UK Customs Agents Bust Criminals | Customs,7-Nov-19,1388,1797880,291888.0484,3268,6975.356
11/19/24,162843,47131.5368,0:17:21,1738.846,Sent home by border control #airportsecurity #travel #girlfriend #goinghome,25-Feb-23,42,1714935,19392.0024,3281,198.248
11/18/24,160242,48032.6881,0:17:59,1716.261,What's Hiding Under Her Clothes? | Border Security: Australia's Front Line,18-Jan-24,1328,1631533,255273.6689,3478,12221.457
11/17/24,176726,52705.8001,0:17:53,1749.097,What happens if your luggage tests positive for illegal substances at the airport? #airportlife,7-Mar-24,54,1522125,20887.6137,3098,316.202
11/16/24,182631,57539.7738,0:18:54,2013.325,UK Border Force | Family Business of Illegals! | Season 2 Finale Episode 10 - Full Episode,21-Apr-21,2696,1115817,306550.3891,1776,10086.682
11/15/24,225959,74349.3846,0:19:44,2989.79,Granny's $250K Heroin Haul | Border Security: Australia's Front Line,28-Dec-23,1331,1101731,239970.5773,2431,10992.837
11/14/24,173018,56395.9355,0:19:33,1923.023,Customs Officials Fight off Nasty Smugglers! | Customs,4-Dec-19,1381,1062908,176594.8809,1615,5640.809
11/13/24,150912,45897.2,0:18:14,1471.448,UK Border Agents at War | Border Patrol,7-Nov-19,1387,1004921,184802.6344,3327,3345.802
11/12/24,158149,44272.471,0:16:47,1491.109,UK Border Patrol Agents Arrest a Drunk & Catch a Smuggler | Locked up Abroad,7-Nov-19,1383,860157,171764.7665,1791,4699.519
11/11/24,154486,43894.5662,0:17:02,1367.082,Woman Gives Customs a Hard Time | Border Security Australia,5-Mar-23,1373,839545,173585.1258,1677,8241.489
11/10/24,136119,40881.4055,0:18:01,1142.462,Man questioned at border after visit to casino #bordersecurity #borderpatrol #cops,5-May-23,60,745118,10878.3365,901,138.148
11/9/24,136607,40606.6024,0:17:50,1103.845,Mayday Ship Sinking! | Coast Guard Alaska | Full Episode,13-Jun-20,2554,739257,182027.4599,3399,5658.496
11/8/24,133740,39278.1196,0:17:37,1229.707,Border Patrol tears apart American's truck looking for rifle #borderpatrol  #canada,11-Apr-24,50,731864,9459.3572,354,161.834
11/7/24,136986,39705.9958,0:17:23,1173.276,Thai Heroin Smugglers | Border Security: Australia's Front Line,2-Sep-22,1330,714929,116427.5773,1039,5212.905
11/6/24,127882,36161.0155,0:16:57,998.697,Uncovering History's Largest Cruise Ship Wreck | The Salvage Masters,14-Apr-23,2665,690449,97631.0388,1412,4635.397
11/5/24,124505,35519.5383,0:17:07,1250.054,Border Security Australia Marathon - Six Episodes of Wild Passengers,10-Jun-24,7892,683284,616240.8773,727,13755.96
11/4/24,144442,41130.1143,0:17:05,1794.905,UK Border Patrol Agency Plays Cat & Mouse with Smugglers! | Locked Up Abroad | Borders,4-Dec-19,2656,669513,219853.0073,1346,5005.295
11/3/24,150863,45200.5443,0:17:58,2007.301,UK Customs Agents Search for Drugs! | Border Patrol!,7-Nov-19,1379,663941,148811.7199,626,3804.972
11/2/24,127143,38447.5352,0:18:08,1745.227,UK Customs Agents Bust a Drug Smuggler! | Border Patrol,7-Nov-19,1382,639107,117494.4138,790,3684.063
